season,n_winners,sg_ott_mean,sg_ott_median,sg_app_mean,sg_app_median,sg_arg_mean,sg_arg_median,sg_putt_mean,sg_putt_median,sg_total_mean,sg_total_median,mean_within_t_sd,sd_within_t_sd,n_tournaments,sg_coverage,n_rows
2015,26,0.7030769230769229,0.71,1.2488461538461535,1.335,0.3426923076923077,0.33499999999999996,1.3892307692307688,1.22,3.6869230769230765,3.565,1.902150832932001,0.32411298736807437,26,1.0,2699
2016,26,0.7050000000000001,0.665,1.3734615384615385,1.18,0.3857692307692308,0.355,0.9103846153846155,0.96,3.376153846153846,3.33,1.891628195477401,0.27339479617800144,27,1.0,2958
2017,31,0.6725806451612902,0.71,1.3048387096774194,1.28,0.5206451612903226,0.29,1.1348387096774193,0.94,3.6338709677419354,3.58,1.9506116316700686,0.231322102822248,31,1.0,3604
2018,34,0.7420588235294117,0.76,1.3188235294117645,1.385,0.4144117647058823,0.36,1.2094117647058824,1.0350000000000001,3.685294117647059,3.675,1.9014217604618684,0.2592971617227412,34,1.0,3968
2019,35,0.7822857142857144,0.72,1.3737142857142857,1.35,0.33057142857142857,0.37,1.3100000000000003,1.34,3.7957142857142863,3.76,1.9131957191597893,0.3016978279094173,35,1.0,4377
2020,29,0.5682758620689655,0.56,1.256896551724138,1.42,0.3203448275862069,0.35,1.4248275862068966,1.46,3.56896551724138,3.4,1.9340060040190932,0.3136328882713304,29,1.0,3704
2021,36,0.6244444444444445,0.57,1.2458333333333333,1.255,0.5302777777777776,0.565,1.1188888888888888,0.99,3.5224999999999995,3.565,1.911527845873897,0.469914833939862,39,1.0,4762
2022,25,0.6224000000000001,0.66,1.2908000000000002,1.31,0.5136,0.6,1.3531999999999997,1.29,3.6068000000000007,3.58,1.8405173579315117,0.18920547732161447,26,1.0,3108
