player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Bo Hoag,50,-0.5112,-0.0444,-0.2994,-0.0424,-0.2184,0.48,0,1,2,1,0.46,0.5
Bo Van Pelt,58,-1.5836206896551723,-0.3860344827586207,-0.6098275862068965,-0.17775862068965517,-0.4265517241379311,0.41379310344827586,0,2,3,1,0.455,0.605
Boo Weekley,62,-0.37258064516129036,0.48661290322580647,0.12225806451612901,-0.28258064516129033,-0.6993548387096774,0.532258064516129,0,4,0,2,0.585,0.92
Brady Schnell,18,-1.077777777777778,-0.4388888888888889,-0.38555555555555554,-0.1988888888888889,-0.054444444444444434,0.2777777777777778,0,0,2,3,0.525,0.815
Branden Grace,100,-0.05979999999999999,0.0637,0.0418,0.1255,-0.3192,0.63,1,14,0,2,0.905,0.915
Brandon Hagy,94,-0.7662765957446809,0.1575531914893617,-0.6239361702127659,-0.12989361702127658,-0.12829787234042553,0.425531914893617,0,3,1,1,0.775,0.735
Brandon Harkins,49,-0.4253061224489796,0.10367346938775511,-0.08836734693877552,-0.16693877551020408,-0.2879591836734694,0.6122448979591837,0,2,1,0,0.515,0.465
Brandon Stone,11,-2.65,-0.11363636363636363,-1.1981818181818182,-1.2345454545454546,-0.1027272727272727,0.45454545454545453,0,0,1,0,0.62,0.71
Brandon Wu,22,-0.8136363636363637,-0.145,-0.255,-0.3513636363636364,-0.1109090909090909,0.45454545454545453,0,1,1,0,0.875,0.91
Brandt Snedeker,136,0.22022058823529408,-0.23875,-0.09977941176470588,0.27308823529411763,0.26933823529411766,0.7132352941176471,3,22,2,3,0.94,0.895
Brendan Steele,133,0.05736842105263156,0.392406015037594,0.14691729323308272,-0.12225563909774434,-0.3762406015037594,0.6992481203007519,2,13,0,2,0.93,0.91
Brendon De Jonge,70,-0.9148571428571429,-0.5507142857142857,-0.2837142857142857,-0.1327142857142857,0.0522857142857143,0.38571428571428573,0,1,2,3,0.73,0.9
Brendon Todd,111,-0.39414414414414417,-0.4393693693693694,-0.5331531531531531,0.17072072072072073,0.4118918918918919,0.5495495495495496,0,8,2,1,0.885,0.53
Brett Stegmaier,55,-0.8770909090909091,-0.13218181818181818,-0.0829090909090909,-0.452,-0.21072727272727274,0.4909090909090909,0,3,1,0,0.935,0.76
Brian Davis,37,-1.2891891891891893,-0.28783783783783784,-0.6321621621621621,-0.035675675675675686,-0.33405405405405403,0.40540540540540543,0,2,3,1,0.37,0.83
Brian Gay,133,-0.6918045112781955,-0.4524812030075188,-0.5817293233082708,0.08233082706766917,0.277593984962406,0.5112781954887218,0,12,2,1,0.85,0.555
Brian Harman,164,0.13926829268292684,0.1521951219512195,-0.3520121951219512,0.15823170731707317,0.1700609756097561,0.6951219512195121,1,23,2,1,0.81,0.855
Brian Stuard,174,-0.2861494252873563,-0.2325287356321839,-0.024367816091954018,0.046206896551724136,-0.09908045977011494,0.5747126436781609,0,12,2,3,0.91,0.78
Brice Garnett,131,-0.4953435114503817,0.07961832061068704,-0.36442748091603056,-0.15847328244274808,-0.04328244274809159,0.48854961832061067,0,2,1,0,0.655,0.53
Bronson Burgoon,102,-0.49254901960784314,0.002745098039215684,-0.10931372549019608,-0.23215686274509803,-0.16578431372549018,0.47058823529411764,0,3,1,0,0.725,0.9
Brooks Koepka,111,0.7972072072072072,0.49495495495495495,0.13594594594594592,0.027927927927927927,0.13846846846846847,0.7747747747747747,5,32,0,0,0.89,0.9
